KEY,de-DE
thethoughthadcrossedmymind^butlordmadeiraconvincedmeotherwise*withthereachinasfragileastateasitis^wecantriskmakingamartyrofhim*newlinenewlinedontworry^though*hellreceivehistasteofjusticesoonenough*,Ich hatte es mir überlegt aber Lord Madeira hat es mir ausgeredet. Der Zustand des Sektors ist auch so schon äußerst zerbrechlich da können wir es uns nicht leisten ihn zum Märtyrer zu machen.\n\nAber keine Sorge. Er wird schon bald der Gerechtigkeit zugeführt werden.
thethrustfromthemaindriveshouldhaveseveredthespineoftheshipwhenitpulledawayfromthecrashsite*dr*muradtheorizesthatthewholethingisbeingheldtogetherbytheexternalhullplating*,Der Schub des Hauptantriebs hätte die Mittelachse des Schiffs in dem Augenblick durchtrennen müssen als es von der Absturzstelle abhob. Dr. Murad glaubt dass das gesamte Schiff nur noch von der Rumpfpanzerung zusammengehalten wird.
thethumpercannonisanintegrated^heavyartillerypiecemountedonthebullshark*whenfired^itdealsdevastatingdamagetoallunitswithinthetargetedarea-oftendestroyinglightermechsandvehiclesentirely*newlinenewlineonlyasingleartillerypiecemaybemountedonanymech*,Die Thumper-Kanone ist ein integriertes schweres Artilleriegeschütz das auf dem Bull Shark angebracht ist. Bei Abschuss fügt sie allen Einheiten im Zielgebiet schwere Schäden zu leichte Mechs und Fahrzeuge werden oft völlig zerstört.\n\nAuf einem Mech kann nur jeweils ein Artilleriegeschütz montiert werden.
thethunderbolt5siswell-armedandheavilyarmoredforitssize*itsoftendeployedasafrontlinemechwherethefightingisheavy^anditneedstogiveasgoodasitgets*,Der Thunderbolt 5S ist für seine Größe stark gepanzert und gut bewaffnet. Er wird oft als Front-Mech dort eingesetzt wo die Kämpfe am heftigsten sind und die besten Mechs benötigt werden.
thethunderbolt5siswellarmoredandheavilyarmoredforitssize*itsoftendeployedasafrontlinemechwherethefightingisheavy^anditneedstogiveasgoodasitgets*,Der Thunderbolt 5S ist für seine Größe stark gepanzert und gut bewaffnet. Er wird oft als Front-Mech dort eingesetzt wo die Kämpfe am heftigsten sind und die besten Mechs benötigt werden.
thetime-frameonthisistight^sinceweneedtheartillerystriketohitwhilethe{team_emp*factiondef*demonym}representativehaseveryonelookingintherightdirection*andcommander^iwouldnttakeanybetsonthatmilitarybaseactuallybeingabandoned*,Für diesen Auftrag haben wir nur ein begrenztes Zeitfenster da der Artillerieschlag dann erfolgen muss wenn der Repräsentant {TEAM_EMP.FactionDef.Demonym} alle dazu gebracht hat in die richtige Richtung zu schauen. Und Commander ich würde mich nicht darauf verlassen dass diese Militärbasis wirklich verlassen ist.
thetournamentofchampionshasnoneedforsuchguidelines*infact^yourbattlemechswontberequiredatall*newlinenewlinetoensurealevelplayingfield^iinsistthatallcompetitorspilothardwaredrawnfrommyownstable*stockmechs^bereftofembellishmentormodification*,Beim Turnier der Champions sind solche Regeln nicht erforderlich. Genau genommen benötigen Sie Ihre eigenen BattleMechs gar nicht.\n\nDamit alle Teilnehmer die gleiche Chance haben sind nur Mechs aus meinem eigenen Bestand zugelassen. Hierbei handelt es sich um handelstypische Mechs ohne Verzierungen oder Modifikationen.
thetournamentofchampionsisasham*thiswholecircusisasickjokethathorvatusestosniffouthighlyskilled^morallyflexiblemechwarriors*hereveresstrengthandwantstosurroundhimselfwithit^buthisstandardsareimpossiblyhigh*newlinenewlinethesecondroundofthetournamentisatrap*ifyouregoodenoughtopushthroughandwinanyway^theprofessorwillshoweryouinbloodmoneytobuyyourfriendship*ifhefindsyouwanting^hellkillyouforsport*,Das Turnier der Champions ist eine fiese Betrugsmasche. Der ganze Zirkus ist nur ein kranker Scherz mit dem Horvat fähige moralisch flexible MechKrieger sucht. Er verehrt Stärke und möchte davon umgeben sein aber seine Ansprüche sind unerfüllbar.\n\nDie zweite Runde des Turniers ist eine Falle. Wenn man gut genug ist und trotzdem gewinnt überschüttet einen der Professor mit Blutgeld um sich die Freundschaft zu erkaufen. Wenn man versagt wird er einen einfach so zum Spaß umbringen.
thetransmissiondatawasenoughforustolocatethefortifiedbunkerthattheregionalcapellancommandishidingin*theythinktheyresafeinthere^butwevegotanavalppconstationreadytopunchaholeinanythingtheyvebuiltdownthere*youllneedtomoveyourmechsintopositionsothatwecanmakeapreciseattack;oncewetakethisshot^ourdropshipisgoingtohavetobreakorbitandrun^sotheresonlyonechancetogetthisright*wehavecompleteconfidenceinyou^commander;yourjudgmenthasbeenspot-onsofar*goodluck*,Mit den Übertragungsdaten ist es uns gelungen den befestigten Bunker zu orten in dem sich der örtliche Führungsstab der Capellaner verschanzt hat. Sie denken sie wären da drin sicher aber wir haben eine PPK für Schiffsschlachten die alles da unten zerlöchern kann. Sie müssen Ihre Mechs in Stellung bringen damit wir einen präzisen Schlag durchführen können. Sofort nach dem Schuss muss unser Landungsschiff den Orbit schleunigst verlassen wir haben also nur eine Chance um alles richtig zu machen. Sie genießen unser absolutes Vertrauen Commander. Bisher waren alle Ihre Entscheidungen goldrichtig. Viel Glück.
thetransportisclosinginonthebunker^commander*ifyoudontstopit^thisoperationisgoingtogetalotmorecomplicated*,Der Transporter nähert sich dem Bunker Commander. Wenn Sie ihn nicht aufhalten wird diese Operation ein ganzes Stück komplizierter.
thetransportself-destructs,Der Transporter zerstört sich selbst
thetrickisfindingthem*theyrerareouthereintheperiphery^sowheniseeoneinastoreorasalvagepile^ialwaysmarkitwitha+foryou^soyoucanidentifyiteasily*,Der Trick ist sie aufzustöbern. Sie sind hier draußen in der Peripherie selten. Wenn ich also was in einem Laden oder auf einem Schrotthaufen finde markiere ich das Objekt mit ""+"" damit Sie es leichter identifizieren können.
thetrucksarecarryingthefinalcomponentsforanewformofbattlemech:thefirstproductofamarriagebetween[[dm*basedescriptiondefs[lorehousedavion]^davioninventivenessandsteinerindustry*newlinenewlineitsquiteanachievement^iassureyou*and[[dm*basedescriptiondefs[lorehouseliao]^houseliaowouldlikenothingbetterthantotakeitfromus*,Die Laster transportieren die letzten Komponenten für eine neue Art von BattleMech: das erste Produkt das den Erfindungsgeist von [[DM.BaseDescriptionDefs[LoreHouseDavion]Haus Davion]] mit der Schwerindustrie von Haus Steiner verbindet.\n\nEs ist eine beeindruckende Errungenschaft das kann ich Ihnen versichern. Und [[DM.BaseDescriptionDefs[LoreHouseLiao]Haus Liao]] möchte sie uns liebend gerne abjagen.
thetruthis^ihatefightingothermercenaries*itseemslikesuchawasteofperfectlygoodarmorandmyomer*,Um ehrlich zu sein kämpfe ich wirklich ungern gegen andere Söldner. Ist doch nur eine Verschwendung von Panzerung und Myomer.
thetruthofthematteristhatwevehadnoendoftroublepacifyingthissystem*still^weareobligatedtotryandthismakes[[dm*basedescriptiondefs[lorehousesteiner]^housesteinersrecentencroachmentallthemoretroubling*newlinenewlinetheyveevenhadthetemeritytobuildamilitarystrongholdontheplanetssurface*,Tatsache ist dass es unglaublich schwierig war dieses System zu befrieden. Aber wir müssen es nun mal versuchen ... und das macht [[DM.BaseDescriptionDefs[LoreHouseSteiner]Haus Steiners]] aktuellen Übergriff umso besorgniserregender.\n\nSie waren sogar kühn genug eine militärische Festung auf dem Planeten zu errichten.
thetundrabiomeisacoldborealforest^withicypeaksandbarrenpermafrost*heatsinksslightlymorereadilyinthisbiome^butoccasionalpocketsofgeothermallyheatedhotspringscanreduceheatefficiencyforanymechthatstandsinthem*,Das Tundrabiom ist ein kaltes nördliches Waldgebiet mit eisigen Spitzen und kargen Permafrostgebieten. Wärme lässt sich in diesem Biom schnell ableiten doch vereinzelte Bereiche geothermischer Aktivität können die Wärmeeffizienz jedes Mechs verringern.
thetwomechwarriorscircleeachotherinthemakeshiftboxingring^whiletheotherpilotsandcrewshoutencouragement*newlinenewline[[scn_mw^{scn_mw*callsign}hasdominatedthefightoverthefirstthreerounds^bloodyingtheothermechwarriorrepeatedly*newlinenewline[[tgt_mw^{tgt_mw*callsign}^flaggingandbackagainsttheropes^dartsinwithafinalsurgeofenergy*newlinenewlineinresponsetosuchapredictableassault^{scn_mw*callsign}turnsoneof{tgt_mw*callsign}sownmovesbackon{tgt_mw*obj}^earlyinthefight^{tgt_mw*callsign}hadstaggered{scn_mw*callsign}withit*now^{tgt_mw*callsign}goesdownhard*newlinenewlineastherefereereachesthe10-count^thecrowdgoeswild*,Die beiden MechKrieger bewegen sich im provisorischen Boxring im Kreis während die anderen Piloten sie anfeuern.\n\n[[SCN_MW{SCN_MW.Callsign}]] hat den Kampf über die ersten drei Runden dominiert und dem anderen MechKrieger mehrmals eine verpasst.\n\n[[TGT_MW{TGT_MW.Callsign}]] hängt wortwörtlich in den Seilen rafft sich aber noch einmal zu einem letzten verzweifelten Angriff auf.\n\nAls Antwort auf diesen vorhersehbaren Angriff kontert {SCN_MW.Callsign} den anderen MechKrieger mit seiner eigenen Technik. In einer der ersten Kampfrunden hat {TGT_MW.Callsign} {SCN_MW.Callsign} damit noch ins Wanken gebracht aber jetzt geht {TGT_MW.Subj} hart zu Boden.\n\nAls der Schiedsrichter schließlich die 10 beim Anzählen erreicht ist die Menge nicht mehr zu bändigen.
thetwomechwarriorscircleeachotherinthemakeshiftboxingringwhilethecrewshoutsencouragement*newlinenewline[[tgt_mw^{tgt_mw*callsign}hasdominatedthefightoverthefirstthreerounds^bloodyingtheothermechwarriorrepeatedly*newlinenewline[[scn_mw^{scn_mw*callsign}^flaggingandbackagainsttheropes^springsforwardwithafinalsurgeofenergy*newlinenewlineinresponsetosuchawildassault^{tgt_mw*callsign}steps^turnsandstrikesinapattern{tgt_mw*subj}probablypracticedhundredsoftimesatanexpensivefightingschool*{scn_mw*callsign}goesdownhard*newlinenewlineastherefereereachesthe10-count^thecrowdgoeswild*,Die beiden MechKrieger bewegen sich im provisorischen Boxring im Kreis während die Crew sie anfeuert.\n\n[[TGT_MW{TGT_MW.Callsign}]] hat den Kampf über die ersten drei Runden dominiert und dem anderen MechKrieger mehrmals eine verpasst.\n\n[[SCN_MW{SCN_MW.Callsign}]] hängt wortwörtlich in den Seilen rafft sich aber noch einmal zu einem letzten verzweifelten Angriff auf.\n\nAls Antwort auf diesen wilden Angriff weicht {TGT_MW.Callsign} zur Seite dreht sich und vollführt ein Angriffsmanöver das {TGT_MW.Subj} vermutlich hunderte Male auf einer teuren Kampfakademie geprobt hat. {SCN_MW.Callsign} geht hart zu Boden.\n\nAls der Schiedsrichter schließlich die 10 beim Anzählen erreicht ist die Menge nicht mehr zu bändigen.
thetwomechwarriorscircleinthemakeshiftboxingringwhilethecrewshoutsencouragement*newlinenewlinebothmechwarriorshavetakenabeatingoverthecourseoftheeightrounds^butwhile[[scn_mw^{scn_mw*callsign}haspassion^[[tgt_mw^{tgt_mw*callsign}hasprecision*newlinenewline{scn_mw*callsign}^flaggingandbackagainsttheropes^springsforwardwithafinalsurgeofenergy*newlinenewlineinresponsetosuchawildassault^{tgt_mw*callsign}steps^turnsandstrikesinapattern{tgt_mw*subj}probablypracticedhundredsoftimesatanexpensivefightingschool*{scn_mw*callsign}goesdownhard*newlinenewlineastherefereereachesthe10-count^thecrowdgoeswild*,Die beiden MechKrieger bewegen sich im provisorischen Boxring im Kreis während die Crew sie anfeuert.\n\nBeide MechKrieger mussten in den acht Runden einiges einstecken aber während bei [[SCN_MW{SCN_MW.Callsign}]] leidenschaftliches Feuer brennt schlägt [[TGT_MW{TGT_MW.Callsign}]] mit Präzision zu.\n\n{SCN_MW.Callsign} hängt wortwörtlich in den Seilen rafft sich aber noch einmal zu einem letzten verzweifelten Angriff auf.\n\nAls Antwort auf diesen wilden Angriff weicht {TGT_MW.Callsign} zur Seite dreht sich und vollführt ein Angriffsmanöver das {TGT_MW.Subj} vermutlich hunderte Male auf einer teuren Kampfakademie geprobt hat. {SCN_MW.Callsign} geht hart zu Boden.\n\nAls der Schiedsrichter schließlich die 10 beim Anzählen erreicht ist die Menge nicht mehr zu bändigen.
thetwomechwarriorscircleinthemakeshiftboxingringwhilethecrewshoutsencouragement*newlinenewlinebothmechwarriorshavetakenabeatingoverthecourseoftheeightrounds^butwhile[[tgt_mw^{tgt_mw*callsign}hastraining^[[scn_mw^{scn_mw*callsign}hasthewilltowin*newlinenewline{tgt_mw*callsign}^flaggingandbackagainsttheropes^dartsinwithafinalsurgeofenergy*newlinenewlineinresponsetosuchapredictableassault^{scn_mw*callsign}turnsoneof{tgt_mw*callsign}sownmovesbackon{tgt_mw*obj}^earlyinthefight^{tgt_mw*callsign}hadstaggered{scn_mw*callsign}withit*now^{tgt_mw*callsign}goesdownhard*newlinenewlineastherefereereachesthe10-count^thecrowdgoeswild*,Die beiden MechKrieger bewegen sich im provisorischen Boxring im Kreis während die anderen Piloten sie anfeuern.\n\nBeide MechKrieger mussten in den acht Runden einiges einstecken aber während [[TGT_MW{TGT_MW.Callsign}]] eine gute Kampfausbildung genossen hat hat [[SCN_MW{SCN_MW.Callsign}]] den höheren Siegeswillen.\n\n{TGT_MW.Callsign} hängt wortwörtlich in den Seilen rafft sich aber noch einmal zu einem letzten verzweifelten Angriff auf.\n\nAls Antwort auf diesen vorhersehbaren Angriff kontert {SCN_MW.Callsign} den anderen MechKrieger mit {TGT_MW.DET}er eigenen Technik. In einer der ersten Kampfrunden hat {TGT_MW.Callsign} {SCN_MW.Callsign} damit noch ins Wanken gebracht aber jetzt geht {TGT_MW.Subj} hart zu Boden.\n\nAls der Schiedsrichter schließlich die 10 beim Anzählen erreicht ist die Menge nicht mehr zu bändigen.
theum-r60lisamodificationofthestandardr60urbanmechthatreplacestheac/10and2tonsofarmorwithanac/20todoubleitsfirepower*withevenlesscombatendurancethanther60^ther60lisfavoredinambushorhit-and-runtactics*,Der UM-R60L ist eine Modifikation des herkömmlichen R60 UrbanMech bei dem die AK/10 sowie zwei Tonnen Panzerung durch eine AK/20 ersetzt wurden um mehr Feuerkraft aufbringen zu können. Der R60L ist daher noch verwundbarer als der R60 und greift daher gern aus dem Hinterhalt an oder zieht sich schnell wieder zurück.
theum-r90suburbanmechadaptsthetraditionalurbanmechr60intoanenergyweaponplatformforhigherperformance*becauseitsweaponsarentlimitedbyammunitionconcerns^ther90isbetter-suitedtolongerengagements*,Der UM-R90 ""SuburbanMech"" verwandelt den herkömmliche UrbanMech R60 in eine Energiewaffenplattform die mehr Feuerkraft bietet. Da die Waffen nicht durch Munition eingeschränkt sind eignet sich der R90 besser für längere Gefechte.
theunknownenemyforcewaslastseenhere*,Die unbekannte feindliche Streitmacht wurde zuletzt hier gesichtet.
theunsettledandabandonedsystemsoftherimwardfrontierareahavenforpiratesbothin-systempredatorsandrenegadejumpshipcaptainswhotransportpiratedropshipsfromonesystemtoanother^takingacutofanyillicitprofits*,Die unbesiedelten und aufgegebenen Systeme des Grenzgebiets sind ein wahres Piratenparadies. Sowohl Freibeuter innerhalb der Systeme als auch abtrünnige Captains von Sprungschiffen die Landungsschiffe der Piraten von System zu System transportieren sichern sich ihre Anteile an sämtlichen illegalen Transaktionen.
theurbanmechr60wasdesignedforexactlywhatthenameimplies:combatindenseurbanareas*assuch^ther60isveryheavilyarmored^butisextremelyslowdespiteitsintegratedjumpjets*armedwithasmalllaserandanac/10^ther60isadeadlyopponentagainstsimilarly-sizedmechs-ifitcangetcloseenoughtofightthem*,Der UrbanMech R60 wurde für den Kampf in urbanen Gebieten konzipiert was sein Name auch vermuten lässt. Aus diesem Grund ist der R60 schwer gepanzert aber trotz der integrierten Sprungdüsen extrem langsam. Dank eines leichten Lasers und einer AK/10 ist der R60 ein gefährlicher Gegner für Mechs ähnlicher Größe - sollte er nah genug an sie rankommen um sie zu bekämpfen.
thevaluableturinbeefisgrownonthevastgrasslandsoftheplanetssinglecontinent^althoughmaintainingthealien-terranhybridisexpensive*inrecentyears^theranchershavebegunbranchingoutintohorsebreeding*,Das wertvolle Turiner Rind lebt auf den weiten Grasflächen des einzigen Kontinents des Planeten obgleich die Zucht dieses fremden irdischen Hybriden teuer ist. In den letzten Jahren haben die Züchter angefangen auch auf Pferdezucht zu setzen.
thevalueofabattlemechisdeterminedbyacombinationoffixedconstructioncostsforitschassis;itsenginesizeandmovementspeed;thearmoritmounts;andthenumberandtypeofhardpointsandweaponsinstalled*valueisfurthermodifiedbyequippedjumpjetsandbonusesorpenaltiestomeleeattacksinherenttothemechschassis*,Der Wert eines BattleMechs setzt sich aus festen Konstruktionskosten für das Chassis der Reaktorgröße und Bewegungsgeschwindigkeit der Panzerung sowie der Anzahl und Art der installierten Aufhängungen und Waffen zusammen. Darüber hinaus spielen auch die installierten Sprungdüsen und mögliche Boni oder Abzüge auf Nahkampfangriffe durch das Chassis eine Rolle.
thevegetationofthisworldreleaseshallucinogensintotheatmosphere^leadingtodangerfromintoxicatednativefauna*,Die Pflanzen auf diesem Planeten setzen Halluzinogene frei wodurch die Tiere hier extrem aggressiv werden.
thevehiclesseemtobeastandardsupplyconvoy^withanescortinglance*itwassimplebadluckthattheyhappenedtobescheduledtoarrivejustafterweneutralizedthebase*weneedtoeliminatethembeforetheyarrivehereandseeleaguesalvageandintelteamsallovertheirfacility*iwouldntexpectmorethanasinglelanceasanescort^butitspossiblethevehiclesthemselvesmayposeasignificantthreat^giventherestrictionsacovertoperationplacesonyourdroptonnage*,Bei den Fahrzeugen scheint es sich um einen standardmäßigen Versorgungskonvoi mit Begleitlanze zu handeln. Es ist einfach nur Pech dass ihre Ankunft für genau dann geplant ist wenn wir hier gerade mit der Neutralisierung der Basis fertig sind. Wir müssen sie ausschalten bevor sie hier eintreffen und sehen wie Bergungs- und Agententeams der Liga ihre Einrichtung auseinandernehmen. Ich rechne mit höchstens einer Lanze als Eskorte aber eventuell stellen die Fahrzeuge selbst eine große Gefahr dar weil Sie Ihre Einsatztonnage für diese Geheimoperation so niedrig halten mussten.
thevictor9stradessomeofitsalreadysubpararmortomountmoreweaponry*itsterrifyingforenemyforcestoseethismechrocketingoverahilltounleashitsconsiderablefirepower^butitalsoneedstoreallyworryaboutanyreturnfire*,Der Victor 9S gibt einen Teil seiner bereits unterdurchschnittlichen Panzerung auf um noch mehr Waffen zu montieren. Feindliche Einheiten sollten sich warm anziehen wenn dieser Mech über einen Hügel springt und seine gewaltige Feuerkraft entfesselt ... doch wehe der Feind kann das Feuer erwidern.
thevilemercenaryyuetuisonherlastlegs*cutthemoutfromunderher!safeguardmybelovedson^andpreventourenemiesfromdestroyinghousekhulan*ifyoudo^iwillseetoreynauldsneeds^andheinturnwillseetoyours*,Die widerwärtige Söldnerin Yuetu ist nahezu erledigt. Bringen Sie es zu Ende! Schützen Sie meinen geliebten Sohn und hindern Sie unsere Feinde daran Haus Khulan zu zerstören. Wenn Sie das tun werde ich mich um Reynaulds Belange kümmern und er wird dafür Ihnen helfen.
thevindicatorvnd-1aa^alsoknownastheavengingangel^datestotheendofthesecondsuccessionwar*withonlyhalfthearmorofastockvnd-1r^theavengingangelisabletomountamorepowerfulengineandadditionaljumpjets^givingitincreasedmobility*,Der Vindicator VND-1AA auch bekannt als Avenging Angel reicht bis ans Ende des Zweiten Nachfolgekriegs zurück. Da er nur über den halben Panzerschutz eines gewöhnlichen VND-1R verfügt kann der Avenging Angel einen stärkeren Reaktor sowie zusätzliche Sprungdüsen unterbringen die für eine erhöhte Mobilität sorgen.
thevipissecure^commander-welldone*,Der VIP ist sicher Commander. Gute Arbeit.
thevnd-1aacarriesonlyhalfthearmorofthemorecommonvnd-1r^butusesthesavedweighttoupgradetheengine*thefinisheddesignisaverymobilemediummechsuitableforskirmishingandshootandscootsniping*,Der VND-1AA ist nur halb so stark gepanzert wie der weiter verbreitete VND-1R doch das so gesparte Gewicht wurde in die Geschwindigkeit investiert. Letztlich handelt es sich hierbei um einen extrem mobilen Mech der perfekt für Scharmützel und blitzartige Distanzangriffe geeignet ist solange er schnell das Weite suchen kann.
thevolkovitecompoundshouldbejustaheadofyou^commander*withrazorbackcompanyoutoftheway^youshouldhavenotroubleputtingittothetorch*,Der Komplex der Volkoviten sollte direkt vor Ihnen liegen Commander. Ohne die Razorback Company die Ihnen in die Quere kommen könnte sollte seine Zerstörung kein Problem für Sie sein.
thevolkovitemartyrs,Die Volkoviten-Märtyrer
thevolkovitepilgrims,Die Volkoviten-Pilger
thewarcriminalyourehuntingwontbealone*thecompanyof{team_tar*factiondef*demonym}mercenariesthathessignedonwithwillattackyouonsight*,Der Kriegsverbrecher den Sie jagen ist nicht alleine. Eine Kompanie Söldner {TEAM_TAR.FactionDef.Demonym} denen er sich angeschlossen hat wird ohne zu zögern das Feuer auf Sie eröffnen.
thewarehousecomplexisunderourcontrol^commander*,Wir haben den Lagerkomplex unter unsere Kontrolle gebracht Commander.
thewarhammer6risalegendarymechthatsoftenfoundinthethickofcombat^hurlingppcboltsatitsfoes*itsnotthemostheavilyarmoredbrawlerbutittendstogiveatleastasgoodasitgets^especiallywithanyenergy-basedweapons*,Der Warhammer 6R ist ein geradezu legendärer Mech der oft mitten im Getümmel zu finden ist wo er PPK-Geschosse auf Feinde schießt. Er ist nicht der schwerstgepanzerte Kämpfer aber er teilt mindestens so gut aus wie er einsteckt gerade was Energiewaffen angeht.
thewarisover^andladyaranoisbackonherthrone*wheredoyouthinkweshouldgofromhere?,Der Krieg ist vorbei und Lady Arano sitzt wieder auf ihrem Thron. Haben Sie einen Vorschlag wohin wir jetzt reisen sollten?
thewarning,Die Warnung
thewarsover^likeyousaid*wheredoyouwanttogofromhere?,Wie Sie schon sagten der Krieg ist vorbei. Was haben Sie als Nächstes vor?
thewastelandplanetofhasturisprimarilyaprisonworld^withthemajorcity^lockdown^functioningasacity-sizedpenalcolony*prisonersprovideslavelaborfortheplanetsdangerousminingindustry*,Der Wüstenplanet Hastur ist primär eine Gefängniswelt. Die Stadt Lockdown ist ein einziges gewaltiges Gefängnis in dem die Insassen als Sklaven in den lebensgefährlichen Minen des Planeten schuften.
thewayladysuikotalks^youdthinkhonorwasworthmorethangold*butiknowwhentokeepmymouthshut*,So wie Lady Suiko redet könnte man meinen Ehre wäre mehr Wert als Gold aber ich weiß wann ich die Klappe zu halten habe.
thewell-knownarcheristheepitomeofthemissileboatconcept*itiscommonlyfoundhurlingdeadlyswarmsoflrmsattargetsfrombehindthesafetyofahill*itsnottooshabbyincloser-rangefights^either*itsonlyrealweaknessisterribleheatmanagement*,Der bekannte Archer ist der klassischste Vertreter des ""Flugkörperschnellboot""-Konzepts. Meist findet man ihn hinter einem sicheren Hügel von wo aus er tödliche LSR-Schwärme auf Ziele ansetzt. Auf kürzere Entfernung ist er auch nicht übel. Seine einzige wirkliche Schwäche sind seine fürchterlich unterdimensionierten Kühlsysteme.
thewholeargosgonedark!imnotpickingupadrivesignaturewhateverfarahjustdid^itmustveknockedoutherengines!,Auf der <i>Argo</i> funktioniert nichts mehr! Selbst der Antrieb ist ausgefallen. Was immer Farah gerade getan hat hatte wohl weitreichende Konsequenzen.
thewholeteamimproves,Das ganze Team verbessert sich
thexogotalittleflowerywithhiswordsthere^buthesright*nowgettheblackwidowontheline*,Der Erste Offizier hat hier eine etwas blumige Ausdrucksweise aber vor allem hat er recht. Jetzt holen Sie die Black Widow ran.
thexoputyoubothongarbagedetailforareason*stopactinglikeyoure[[tgt_mw^{tgt_mw*callsign}sboss*younarrowyoureyesat[[scn_mw^{scn_mw*callsign}*nobodylikesasnitch*newlinenewline{scn_mw*callsign}throws{scn_mw*det}handsupindisbelief*so^therulesdontmatter?newlinenewlinetheruleshelpkeepthisoutfitsane^butwhatyouredoingisgoingtomakeeveryonehateyou*youreinsultingthexo^me^andtherestofthiscrew*yougestureto{tgt_mw*callsign}*doyouwant{tgt_mw*obj}tohesitatewhenyourlifeisontheline?newlinenewlinetheheatin{scn_mw*callsign}scheeksdissipates*messagereceived^commander*{scn_mw*subj_c}{scn_mw*gender?nonbinary:turn|default:turns}to{tgt_mw*callsign}^placingahandon{scn_mw*det}chest*imsorry*letmehandlethecleaning*imthereasonyoureinthismessinthefirstplace*,Der Erste Offizier hat Sie <i>beide</i> zur Müllbeseitigung eingeteilt - und das nicht grundlos. Hören Sie auf damit sich wie der Chef von [[TGT_MW{TGT_MW.Callsign}]] aufzuführen."" Du wirfst [[SCN_MW{SCN_MW.Callsign}]] einen bösen Blick zu. ""Niemand mag Petzen.""\n\n{SCN_MW.Callsign} reißt fassungslos die Hände in die Höhe. ""Die Regeln sind also vollkommen irrelevant?""\n\n""Die Regeln sind dafür da dass die Einheit eine Einheit bleibt. Was Sie dagegen tun führt nur dazu dass alle anderen einen Hass auf Sie bekommen."" Du zeigst auf {SCN_MW.Callsign}. ""Wollen Sie etwa dass {TGT_MW.SUBJ} zögert wenn auf dem Schlachtfeld <i>Ihr</i> Leben auf dem Spiel steht?""\n\n{SCN_MW.Callsign} wird plötzlich ganz blass im Gesicht. ""Hab verstanden Commander."" {SCN_MW.Callsign} wendet sich {TGT_MW.Callsign} zu und legt eine Hand auf {SCN_MW.DET}e Schulter. ""Tut mir leid. Ich übernehme die Müllbeseitigung. Immerhin bin ich schuld daran dass du überhaupt in diesem <i>Schlamassel</i> steckst.""
thex-rayisalltheproofineed^[[tgt_mw^{tgt_mw*callsign}*illauthorizeyourearlyrelease^butbecareful*theydontexactlymakesparepartsformechwarriors*newlinenewline{tgt_mw*subj_c}{tgt_mw*gender?nonbinary:pump|default:pumps}afisttriumphantly*loudandclear^commander!newlinenewlineafterreceivinganurgentmessagethat{tgt_mw*callsign}hadanaccidentinthemess^youreturntothemedbay*whenyouarrive^{tgt_mw*det}entirearmisinafullcast*yousigh*aftereverythingwetalkedabout^whathappened?newlinenewline{tgt_mw*subj_c}{tgt_mw*gender?nonbinary:look|default:looks}up*thetruthisjustembarrassing*itriedtakingmoreofthesupplementtospeeduprecovery*newlinenewlineyounodyourheadslowly*ihopeyoulearnedyourlesson*newlinenewlineyeah^itwasadisaster*ihallucinatednotinthefunway*amesstablesproutedfangsandclaws*itstartedgrowlingatme*so^iuh^tackledit*dontworry^therestofthatnarwhaljunkisalreadygone*imdonewithit*nexttime^illsticktoprotocol*{tgt_mw*callsign}salutes*,""Das Röntgenbild reicht mir als Beweis [[TGT_MW{TGT_MW.Callsign}]]. Ich autorisiere Ihre vorzeitige Entlassung aber seien Sie vorsichtig. Für MechKrieger gibt es keine Ersatzteile.""\n\n{TGT_MW.SUBJ_C} reckt triumphierend die Faust in die Luft. ""Ich habe Sie laut und klar verstanden Commander!""\n\nSpäter erhältst du eine dringliche Nachricht dass {TGT_MW.Callsign} einen Unfall in der Messe hatte. Du findest dich erneut auf der Krankenstation wieder. Der Arm des MechKriegers ist von oben bis unten eingegipst. Dir entkommt ein Seufzer. ""Ich dachte ich hätte mich klar ausgedrückt. Was ist passiert?""\n\n\n\n{TGT_MW.SUBJ_C} blickt zu dir auf. ""Die Wahrheit ... schmerzt mehr als die Verletzung. Ziemlich peinlich sogar. Ich habe mehr von dem Zeug eingenommen um schneller gesund zu werden.""\n\nDu nickst langsam. ""Ich hoffe Sie haben Ihre Lektion gelernt.""\n\n""Ja es war eine Katastrophe. Ich hatte Halluzinationen ... fürchterliche Halluzinationen. Einem Tisch in der Messe wuchsen plötzlichen Klauen und Reißzähne. Das ""Ding"" hat mich angeknurrt also hab ich es ... ähm angesprungen. Keine Sorge der Rest von dem Narwalmist ist bereits im Müll. Ich nehm das Zeug nie wieder. Nächstes Mal streng nach Vorschrift."" {TGT_MW.Callsign} salutiert.
